conv3.1.conv2c.1.conv2.weight                                          (96, 1, 3, 3)
conv3.1.conv2c.1.bn.weight                                             (96,)
conv3.1.conv2c.1.bn.bias                                               (96,)
conv3.1.conv2c.1.bn.running_mean                                       (96,)
conv3.1.conv2c.1.bn.running_var                                        (96,)
conv3.1.conv2c.1.bn.num_batches_tracked                                ()
conv3.1.conv2c.2.conv1.weight                                          (96, 96, 1, 1)
conv3.1.conv2c.2.conv2.weight                                          (96, 1, 3, 3)
conv3.1.conv2c.2.bn.weight                                             (96,)
conv3.1.conv2c.2.bn.bias                                               (96,)
conv3.1.conv2c.2.bn.running_mean                                       (96,)
conv3.1.conv2c.2.bn.running_var                                        (96,)
conv3.1.conv2c.2.bn.num_batches_tracked                                ()
conv3.1.conv2d.0.conv1.weight                                          (96, 96, 1, 1)
conv3.1.conv2d.0.conv2.weight                                          (96, 1, 3, 3)
conv3.1.conv2d.0.bn.weight                                             (96,)
conv3.1.conv2d.0.bn.bias                                               (96,)
conv3.1.conv2d.0.bn.running_mean                                       (96,)
conv3.1.conv2d.0.bn.running_var                                        (96,)
conv3.1.conv2d.0.bn.num_batches_tracked                                ()
conv3.1.conv2d.1.conv1.weight                                          (96, 96, 1, 1)
conv3.1.conv2d.1.conv2.weight                                          (96, 1, 3, 3)
conv3.1.conv2d.1.bn.weight                                             (96,)
conv3.1.conv2d.1.bn.bias                                               (96,)
conv3.1.conv2d.1.bn.running_mean                                       (96,)
conv3.1.conv2d.1.bn.running_var                                        (96,)
conv3.1.conv2d.1.bn.num_batches_tracked                                ()
conv3.1.conv2d.2.conv1.weight                                          (96, 96, 1, 1)
conv3.1.conv2d.2.conv2.weight                                          (96, 1, 3, 3)
conv3.1.conv2d.2.bn.weight                                             (96,)
conv3.1.conv2d.2.bn.bias                                               (96,)
conv3.1.conv2d.2.bn.running_mean                                       (96,)
conv3.1.conv2d.2.bn.running_var                                        (96,)
conv3.1.conv2d.2.bn.num_batches_tracked                                ()
conv3.1.conv2d.3.conv1.weight                                          (96, 96, 1, 1)
